ID,label,tanggal,judul,narasi,nama file gambar
21547,0,07-Agu-18,PKS dan Gerindra Purwakarta Bantah Pasang Spanduk yang Dinilai Provokatif,Kami Caleg Partai Gerindra dan PKS Menolak Khilafah. Indonesia Damai Menolak Khilafah di Wilayah Purwakarta. Barisan Muda Muslim Purwakarta.,21547.png
23390,0,22-Aug-17,Pengoperasionalan Kereta Bandara,"Buat teman2 yang ada kunjungan ke Jakarta, sejak 17 Agustus 2017 sudah ada transportasi kereta api dari bandara Soekarno-Hatta..?",23390.jpg
23414,0,18-Jul-17,Tusuk Gigi Sebarkan HIV AIDS,Tusuk Gigi Sebarkan HIV AIDS,23414.jpg
28265,0,28-Mar-19,Penjelasan KPU Gowa terkait Baliho Surat Suara yang Tidak Mencantumkan Foto Capres-Cawapres Prabowo-Sandi,"Hari ini
Pemasangan baliho contoh surat suara Pilpres 
oleh KPU
Di Kec Bontonompo Kab Gowa
Mana foto capres cawapres 02?
Luar Biasa KPU Gowa
Kalian sudah mencederai demokrasi",28265.jpg
29408,0,25-Sep-18,Kementan Bantah Siluet Wajah yang Ada Dibungkus Plastik Bertuliskan Beras Segar dan Toko Tani Indonesia ialah Presiden Jokowi,"â€œGambar atau foto yang tertera pada kemasan beras Toko Tani Indonesia adalah bukan foto Presiden RI Bapak Jokowi. Itu foto model staf Kementan di Biro Umum dan Pengadaan Kementan, Mas Agus Faizal,â€ kata Kepala Biro Humas dan Informasi Publik Kementan, Kuntoro Boga Andri, Selasa (25/9).",29408.jpg
29684,0,15-Agu-18,Dinkes Aceh Membantah Atas Isu Pelajar Lumpuh Setelah Vaksin MR,"â€œItu secara kebetulan. Tidak berhubungan dengan imunisasi. Ini penyakit sendiri bukan efek dari vaksin MR,â€ ujarnya.",29684.jpg
29994,0,29-Jun-18,: Maradona Bantah Kabar Dirinya Meninggal Usai Laga Argentina vs Nigeria Pada Piala Dunia 2018,: Maradona Bantah Kabar Dirinya Meninggal Usai Laga Argentina vs Nigeria Pada Piala Dunia 2018,29994.jpg
30622,0,4-Mar-18,Penjelasan Terkait Berita Muslim Cyber Army yang Tidak Sesuai Standar,"Berdasarkan peninjauan internal redaksi, ditemukan fakta bahwa editor terburu-buru dalam mengunggah artikel tersebut. Sehingga, mengabaikan standar yang ditentukan terutama terkait dengan cover bothside. Termasuk, untuk selektif dalam mencari narasumber karena telah menjadikan akun anonim sebagai rujukan utama.",30622.png
30669,0,27-Feb-18,"Teror Kiai di Ponpes Kediri Hoax, Ini Cerita Sebenarnya","Teror Kiai di Ponpes Kediri Hoax, Ini Cerita Sebenarnya",30669.png
30763,0,8-Feb-18,Penganiayaan Ulama di Bogor,"Utk Kesekian kalinya terjadi Penganiayaan thdp Ulama2 di JaBarâ€¦ðŸ˜–ðŸ˜¢
 Hr ini Ulama Bogor, Ust.sulaiman dibacok orang gila di bogorâ€¦ðŸ˜¤
 Umat ISLAM Rapatkan Barisan.. Always Waspadaâ€¦ðŸ’ªðŸ»ðŸ’ªðŸ»ðŸ’ªðŸ»
 #Waspada
 #SaveUlama
 #HasbunallahWanimalWakiiilâ€¦ðŸ™ðŸ˜­",30763.png
30842,0,26-Jan-18,Bahaya Makan Rambutan Sambil Minum Teh Manis Sebabkan Penyumbatan Saluran Pernapasan,Bahaya Makan Rambutan Sambil Minum Teh Manis Sebabkan Penyumbatan Saluran Pernapasan,30842.jpg
32721,0,22-Oct-15,Indonesia Gagal Wujudkan Swasembada Pangan,Pemerintah rencana impor beras 1 juta ton = Indonesia gagal swasembada,32721.png
34480,0,16-Mar-20,Update Status Terkait Penutupan Beberapa Destinasi Wisata di DIY,"Kita sudah komunikasikan dengan Kementerian BUMN dan sesuai dengan ajakan Presiden Jokowi, bahwa TWC akan berlakukan penutupan bagi pengunjung,",34480.png
36276,0,25-Apr-19,Klarifikasi KPU Terkait Pernyataan Ustaz Haikal Hassan Mengenai 13 Juta Pemilih yang Gila,"Mohon maaf, pak @haikal_hassan. Pemilih â€œgilaâ€ itu hoax. Yg benar, sesuai Putusan MK 135/2015 adalah pemilih dg â€œgangguan jiwa/ingatanâ€. Gila hanya salah satu jenisnya. Lagipula angkanya juga hoax. Dulu 14 juta. Sekarang didiskon jadi 13 juta. Yg benar hanya 54.295. Demikian",36276.png
36328,0,22-Apr-19,15 Kotak Suara DPRD Jambi Dibakar OTK,"Berita Pagi ini di TV One, Berhubung 02 unggul di Jambi, Kardus KPU dibakar Oleh oknum untuk menghilangkan bukti C1
Sekarang sudah pahamkan kenapa kotak suara dari kardus?",36328.jpg
37905,0,12-Agu-18,Indo Barometer Bantah Buat Hasil Survei Pilpres 2019 antara Jokowi dan Prabowo,"â€œSecara tegas Indo Barometer menyatakan meme hasil survei Pilpres 2019 tersebut hoax alias tidak benar. Kami dari Indo Barometer mengklarifikasi, bahwa data tersebut tidak benar dan bukan bersumber dari Indo Barometer,â€ ujar Direktur Eksekutif Indo Barometer, M. Qodari, Minggu (12/8).",37905.png
38429,0,8-May-18,Tulisan #2019gantipresiden di Struk Pembayaran Ayam Geprek Eskom,"[â€¦]Kami klarifikasi sekali lagi,Tulisan #2019gantipresiden merupakan inisiatif oknum karyawan yg punya hak di mesin kasir,bukan dr pihak owner.[â€¦]",38429.png
38576,0,17-Apr-18,: LSF Mengklarifikasi Terkait Pemotongan 7 Menit Durasi Film Avengers Infinity War,LSF Mengklarifikasi Terkait Pemotongan 7 Menit Durasi Film Avengers Infinity War,38576.png
39528,0,29-Oct-17,"Yang Nangkap Polisi Kamboja, yang Ribut Netizen Indonesia","Yang Nangkap Polisi Kamboja, yang Ribut Netizen Indonesia",39528.png
39813,0,4-Jul-17,: Baliho Red Army di Kota Malang Adalah Simbol Kebangkitan PKI,"Red Army itu kalau orang melihat itu kan identik dengan komunis. Identik dengan satuan di Uni Soviet, di Vietnam maupun di China",39813.jpg
45795,0,25-Sep-18,Polri Minta Kominfo Blokir Situs SkandalSandiaga.com,"â€œKita sudah komunikasi dengan Kemenkominfo untuk memblokir situs tersebut ya,â€ kata Kabid Humas Polda Metro Jaya, Kombes Argo Yuwono, Selasa (25/9).",45795.jpg
46719,0,24-Apr-18,Video Jokowi Bagi-Bagi Duit 2016 Dipelintir,"Dari penelusuran yang dilakukan Jawa Pos, video itu sebenarnya sudah lama. Sejak 2016 sudah beredar di media sosial.",46719.png
47636,0,16-Nov-17,Ketika Emosi Dominasi Politik,"Ketika Emosi Dominasi Politik

",47636.png
47875,0,27-Sep-17,"Bahasa Jepang Ike Dikonotasikan sebagai kata Komunis, Sipit, PKI dan LGBT","Awas! Untuk orang tua yang memiliki putra dan putri yang sudah remaja dan beranjak dewasa, bekali dan bentengi putra-putri Anda denga ilmu Agama jika tidak ingin putar-putri Anda terjerumus ke dalam jurang kehancuran yang salah satunya adalah â€œIKEH-IKEHâ€â€¦
 Colek KOMUNIS
 Hmmm matanya sipitâ€¦!!!!!",47875.jpg
48121,0,12-Apr-17,"Anies Kalah, Muslim Marah, Siap Revolusi","Tanpa rekam jejak yang bagusâ€¦
 Tanpa program yang nyataâ€¦
 Isu SARA lah yang jadi ujung tombak kampanyeâ€¦
 Danâ€¦
 TAK SIAP KALAH pulakâ€¦.",48121.jpg
54451,0,17-Jul-18,BKD Provinsi Papua Tidak Pernah Janjikan Jatah Penerimaan CPNS 2018,Saya dan staf di BKD Papua tidak pernah meminta uang untuk menjanjikan jatah dalam penerimaan CPNS.,54451.png
55491,0,11-Jan-18,: Penerapan Sistem Ganjil Genap di Tol Cikampek,rencana membatasi kendaraan berdasarkan pelat nomor ganjil-genap di Tol Jakarta-Cikampek akan diuji coba pada Selasa (22/8/2017). Uji coba sistem tersebut hanya dilakukan pada pagi hari.,55491.jpg
55714,0,30-Nov-17,Pemerintah dengan asik duduk dikursi diskusi dan bilang...,"Bantu #Viraklan lagi ya sob !!! Kita Rakyat Indonesia Harus Tau mereka yg Rakus2 Dunia lagi lagi #MenindasWongCilik.
Sakit Hati ini melihat saudara2 kita diperlakukan seperti itu oleh penguasa Rakus. Mreka seblumnya hidup damai sbgai petani, tapi lihat saat ini, tak ada kedamaian lagi disana. ????",55714.png
62232,0,17-Sep-18,Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen,Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen,62232.jpg
62404,0,23-Agu-18,MUI Ajak Masyarakat Tak Ragu untuk Vaksin MR,"MUI Pastikan Vaksin Rubela Positif Mengandung Babi dan Organ Manusia, Ini Penjelasan Resminya",62404.jpg
63197,0,11-Apr-18,Setidaknya 70 tewas dalam serangan militer Afghanistan di masjid,"TAK ADA BERITA DI TV,TAK ADA SUARA HAM,TAK ADA SUARA INTOLERAN,TAK ADA SUARA HAM TAPI KAMI PUNYA ALLAH SWT",63197.png
63475,0,22-Feb-18,Ahoker dan Jokwer Akan Marah Besar Jika di Katakan PKI Bangkit Lagi,"Ahoker dan Jokwer akan marah besar jika di katakan PKI bangkit lagiâ€¦.!
 Wahai saudarakuâ€¦ Mari kita waspada..!",63475.png
64210,0,4-Oct-17,"Punya Pistol FN Saja Sudah Berani Begini Kepada TNI, ...","Punya Pistol FN saja sudah berani begini kepada TNI, apa lagi sudah punya RPG, senjata anti tank, bisa2 Polisi melakukan kudeta.â€",64210.jpg
64488,0,19-Apr-17,Ujaran Kebencian Untuk Etnis China Yang Mengatasnamakan Sultan Hamengkubuwono X,"Sri Sultan Hamengkubuwono : Maaf Bukan SARA, Tapi Cina Dan Keturunannya Tidak Pantas Jadi Pemimpin Di Bumi Nusantara. Fakta Sejarah, Tionghoa Adalah Satu-Satunya Penghianat Negara Kesatuan Republik Indonesia (NKRI).",64488.jpg
64867,0,7-Jan-17,MASTEL Turut Optimalkan Peran Stakeholder Sektor Telematika Dalam Melawan Penyebaran Hoax,"Masyarakat Telematika Indonesia (MASTEL) memandang momen Aksi Turn Back Hoax yang akan diselenggarakan oleh Masyarakat Anti Fitnah Indonesia (Mafindo) secara serentak di 7 Kota pada hari Minggu, 8 Januari 2017, memiliki makna yang penting. Sebab, aksi ini akan melibatkan masyarakat secara terbuka dan mengedepankan peran masyarakat sebagai pelaku sentral dalam membangun kondusivitas kehidupan bermasyarakat, berbangsa dan bernegara",64867.png
70363,0,25-Sep-18,Klarifikasi terkait Video Viral Pagar Masjid Istiqlal yang Ditutup,Ada apa dgn rezim iniâ€¦ Dl masjid istiqlal terbuka luas utk umat muslim maupun non muslim yg ingin beribadah maupun berwisata dr daerah2 maupun dr luar. Tp skrg pintu pagar masjid mulai membatasi umat utk msk kedlm masjidâ€¦,70363.jpg
70533,0,1-Sep-18,Kak Seto Tidak Mengisi Acara di Sampoerna Academy,"Atas pertanyaan masyarakat kepada Lembaga Perlindungan Anak Indonesia (LPAI) beberapa hari yang lalu tentang sebaran Whatsapp berisikan kabar Kak Seto akan mengisi acara di Sampoerna Academy, pihak LPAI memberikan klarifikasi.",70533.jpg
71613,0,28-Feb-18,"The Family MCA dan Saracen, Bisnis Hoaks Serupa tetapi Tak Sama","The Family MCA dan Saracen, Bisnis Hoaks Serupa tetapi Tak Sama",71613.png
71834,0,18-Jan-18,: Bahaya Memakan Kepala Ikan Karena Mengandung Racun Ciguatoksin,Bahaya Memakan Kepala Ikan Karena Mengandung Racun Ciguatoksin,71834.jpg
73385,0,11-Oct-16,Februniye Walikota Kristen Pertama Di Kota Mardin yang Mayoritas Warganya Beragama Islam,"Di dalam pemberitaannya, portal okterus.com mengatakan bahwa Kota Mardin, Turki memiliki Walikota Kristen perempuan pertama, yakni Februniye Akyol.",73385.jpg
73563,0,17-Feb-16,"Jokowi Bantu Laos Bangun Infrastruktur, Ketika Jembatan-Jembatan di Indonesia Masih Meprihatinkan","Mohon pencerahan yg berita Sindo.
 
 Trus yg gambar Jembatan, lokasi dmn???apa sampai saat ini masih seperti itu??? tanpa penanganan dr pemerintah setempat.",73563.png
73616,0,4-Dec-15,Dokumentasi Dinding Berlapis Emas Freeport,"Lihatlah didalam perut bumi di tanah Papua, dinding berbatu berlapis emas itu bukan cat tembok, bukan pula di studio film tapi inilah kegiatan setiap hari karyawan Freeport selama puluhan tahun.",73616.jpg
81619,0,2-Aug-16,: Waspada SCAM Pesan Berantai Video Call Whatsapp,"[SCAM] Beredar broadcast aktivasi feature video call dengan pesan: â€œ*Wow ! New Whatsapp Video calling Version is leaked with HD quality and many More features, Click on below link to Download !*",81619.jpg
87340,0,29-Jun-18,Wakapolri Tidak Pernah Beri Pernyataan Terkait Pilkada Kota Makassar 2018,"Tidak ada, berita itu hoaks. Polri netral, apalagi saya.",87340.png
87450,0,4-Jun-18,"Anggaran Tempat Sampah Jerman Rp 9,58 M, Dinas LH DKI Buka Suara","â€Setelah melakukan pertimbangan secara teknis, kami pilih produk Jerman 
dengan pertimbangan kualitas,â€ ucap dia. Isnawa pun menyebutkan garbage 
bin yang dipesan telah memiliki sertifikat standardisasi kelas dunia 
EN-840.",87450.png
87821,0,29-Mar-18,Arseto Pariadji Menyerahkan Diri ke Polisi,Arseto Pariadji Menyerahkan Diri ke Polisi,87821.png
88202,0,22-Jan-18,Bisnis Gelap di Balik Like di Facebook,"Begitu halamannya telah mengumpulkan ribuan â€œlikeâ€ dan komentar, maka halaman itu akan memiliki posisi tertinggi dalam News Feed para pengguna Facebook. â€œLikeâ€ bagaikan mata uang bagi situs tersebut",88202.jpg
88922,0,24-Aug-17,: Arti Saracen yang Dipakai Sindikat Penyebar Kebencian,Arti Saracen yang Dipakai Sindikat Penyebar Kebencian,88922.jpg
89516,0,18-Dec-16,Indonesia Tidak Ikut Aliansi Negara Islam Menyaingi NATO,Menyedihkanâ€¦INDONESIA sbg negara mayoritas muslim terbesar di dunia tdk ikut dlm koalisi tentara islam dunia menyaingi NATO nya kafir.pdhl 34 negara sdh bergabung termasuk malaysia di dalamnyaâ€¦memalukan,89516.jpg
91082,0,21-May-20,Koreksi Post Empat Ton Telur Bansos Pemprov Jabar Membusuk,Berkaitan juga dengan koreksi sebelumnya di: â€œ[BERITA] Perkembangan Informasi Empat Ton Telur Bansos Pemprov Jabar Membusuk di Gudang Penyimpanan Bulog Garutâ€ https://bit.ly/2WWv877 Tim Redaksi dan Pemeriksa Fakta MAFINDO memohon maaf atas ketidaknyamanan yang ditimbulkan. Selengkapnya di bagian PENJELASAN dan REFERENSI.,91082.png
93985,0,27-Feb-19,Klarifikasi Polres Bogor Terkait Pembuatan SIM Tanpa Tes Rp. 150 Ribu di Acara Millenial Road Safety Festival,"Benar Ada Cara Millenial Road Safety Festival Polres Bogor hari Minggu Tanggal 3 Maret 2019, tapi tidak ada pembuatan SIM tanpa tes, hanya ada Pelayanan SIM Keliling khusus Perpanjangan SIM,",93985.png
95387,0,19-Jul-18,MenPAN-RB Bantah Maju sebagai Caleg,Asman justru membantah,95387.png
95637,0,5-Jun-18,Manajemen Garuda Indonesia Tegaskan Tidak Ada Penjualan atau Penawaran Saham kepada Perusahaan China,"Berita tersebut sama sekali tidak benar,",95637.png
96427,0,16-Jan-18,KURSI DI GBK RUSAK PARAH PASCA LAGA INDONESIA VS ISLANDIA,"VIRALKAN! BARU DIRESMIKAN, SUPORTER TIMNAS RUSAK KURSI SUGBK MINGGU MALAM
#nowupdateÂ @depasarnow
Tingkah dan Ulah Suporter Timnas Indonesia yang tak Pantas Ditiru
Sedih ngeliat foto-foto ini, beberapa oknum suporter nampak tidak menggunakan dan menghargai fasilitas Stadion Utama Gelora Bung Karno yang saat ini tampilan barunya mewah dan cantik, tidak kalah dengan stadion-stadion Eropa.",96427.jpg
96871,0,30-Oct-17,Polisi Laporkan 30 Akun Penyebar Hoax Girder Flyover Tol Ambruk,Polisi Laporkan 30 Akun Penyebar Hoax Girder Flyover Tol Ambruk,96871.png
97107,0,27-Aug-17,: Penjelasan BPOM Terkait Hoax Serta Isu Mengenai Makanan,Penjelasan BPOM Terkait Hoax Serta Isu Mengenai Makanan,97107.jpg
97515,0,28-Jan-17,"The Habibie Center, Drone Emprit: Breaking the chambers walls","The Habibie Center, Drone Emprit: Breaking the chamberâ€™s walls",97515.jpg
97789,0,9-Dec-16,: Tim Sari Roti Sombong Menanggapi Isu Boikot,"Produk ROTI kan banyak di jual di minimarket, pasarnya juga menengah ke atas. Sudah dikenal orang banyak, jadi saya pikir tidak berpengaruh yah",97789.jpg
98107,0,1-May-16,Ahok Minta Warga Luar Batang Wakafkan Tanah untuk Plaza,"Ahok Minta Warga Luar Batang Wakafkan Tanah untuk Plaza, Warga: Kenapa Bukan Apartemen yang Diwakafkan?",98107.jpg
98157,0,29-Jan-16,Pentingnya Literasi Media,Pentingnya Literasi Media,98157.jpg
103001,0,11-Oct-18,Cairan dalam Wadah Mainan Anak yang Menyerupai Pisang Tidak Mengandung Narkoba,"Telah beredar informasi melalui media sosial tentang beredarnya minuman semprot mengandung narkoba dikalangan anak SD. Informasi tersebut tidak benar/hoax. Be smart netizen, #BeSmartNetizen",103001.png
103054,0,05-Okt-18,Gempa Palu Bukan Penyebab Erupsi Gunung Soputan,"Pusat Vulkanologi Dan Mitigasi Bencana Geologi (PVMBG), Badan Geologi, Kementerian Energi Dan Sumber Daya Mineral (ESDM) menegaskan bahwa peningkatan aktivitas vulkanik Gunung Soputan di Sulawesi Utara bukan akibat gempa bumi di Palu.",103054.jpg
103156,0,21-Sep-18,Indomaret Klarifikasi Tayangan TV Jokowi Yang di Protes Kader Partai Demokrat,"Saya secara pribadi akan memboikot Indomaret, tidak akan belanja dijaringan Indomaret krn iklan ini. Yang mau ikut boikot, silahkan. Masih ada minimarket yg lain.",103156.jpg
103515,0,02-Agu-18,HMI Klarifikasi Terkait Isu Memberi Dukungan Politik Ke Partai Berkarya,"agenda silaturahmi dengan beberapa pimpinan partai politik (parpol), khususnya ke Partai Berkarya beberapa waktu lalu, murni untuk membangun sinergitas kelembagaan dan sharing gagasan terkait persoalan kebangsaan.",103515.jpg
105165,0,5-Oct-17,"Mulai Tahun Depan, PDIP Minta MUI Agar Babi Panggan Halal...","â€œMULAI TAHUN DEPAN, PDIP MINTA MUI AGAR BABI PANGGAN HALAL UNTUK DIKONSUMSI DIKALANGAN MASYARAKAT TERMASUK PESANTREN",105165.png
105283,0,4-Sep-17,Bawa Langsung Lansia ke Rumah Lansia Atmabrata,"Teman2 terkasih, kalau kenal/tahu lansia yg tidak punya rumah, tdk ada keluarga yg urus, atau tidak punya tempat berteduh, boleh bawa ke Rumah Lansia Atmabrata di Jln. Cilincing Baru 5 No: 29, Jakarta yg dikelola oleh. Bruder Petrus Partono dan tim. HP Bruder Petrus : (+62)8212 5141 621. Tidak pandang suku dan agama, siapa saja boleh mendapatkan tempat berteduh, makanan, pengobatan, dan perhatian.
 Bantu share ke grup lain..:pray:â€",105283.png
111051,0,31-Oct-18,"Sri Mulyani Beri Klarifikasi Terkait Sajak yang Berisi tentang Keluarga, Kehilangan dan Lion Air JT 610","Setelah setelah saya konfirmasi, beliau menyatakan tidak membuat tulisan tersebut",111051.png
111435,0,10-Sep-18,TNI: Indonesia Tidak Langgar Perbatasan Timor Leste,"David Diaz Ximenes, anggota Komisi VIII Parlemen Nasional Bidang Pertahanan dan Kerjasama Luar Negeri Timor Leste sempat menuduh ada warga negara Indonesia dari Desa Manusasi sudah melanggar perbatasan antara Indonesia-Timor Leste.",111435.jpg
111928,0,27-Jun-18,Sindrom Siklopia,Cyclopia (juga cyclocephaly atau synophthalmia) adalah bentuk langka dari holoprosencephaly,111928.png
113065,0,29-Nov-17,Sering Minum Es Dapat Sebabkan Batuk dan Pilek,Jangan minum air es terlampau banyak. Ingatlah bahwa Anda saat ini sudah mulai batuk dan pilek.,113065.jpg
114424,0,3-Jul-16,Larangan Takbiran di DKI Jakarta,"UNDANGAN TERBUKA UNTUK UMAT ISLAM
 
 Untuk menghidupkan malam Idul Fitri, sekaligus melestarikan tradisi Muslim di Nusantara, Front Pembela Islam (FPI) akan menggelar acara TAKBIRAN KELILING BESAR-BESARAN, pada:",114424.jpg
118334,0,4-Apr-19,KPU Bantah Tuduhan Server Disetting untuk Menangkan Jokowi 57% dan Akan Lapor Bareskrim,"Breaking News:exclamation: Pak wahyu mantan staff jokowi di solo bongkar server KPU di singapur udh setting kemenangan 01 57%!!!, jebol salah satu dari 7 servernya. Sebarkan. Viralkan :loud_sound",118334.png
118965,0,27-Dec-18,"MUNCUL ISU AKAN TERJADI GEMPA DI PALU PADA 28 DESEMBER 2018, BMKG ANGKAT BICARA","Kepala Stasiun Geofisika Klas I Palu, Cahyo Nugroho: â€œIsu itu tidak benar atau hoax, belum ada teknologi yang dapat memprediksi akan terjadinya suatu gempa bumi di sebuah wilayah,â€",118965.png
119964,0,19-Jul-18,Pesawat Citilink QG 801 Rute Semarang-Surabaya Tidak Hilang,Manajemen Citilink Indonesia memastikan keselamatan dan keamanan setiap penerbangan,119964.png
120900,0,3-Feb-18,MANTAN PRESIDEN RI KE 3 DI NOBATKAN SEBAGAI PEMILIK IQ TERTINGGI SEPANJANG SEJARAH MANUSIA NAMUN DI SIA SIAKAN OLEH BANGSA INDONESIA,"#MCA_BreackingNews_UpdateNEWS
 MOHON DOA NYA SEJENAK
 Kabar dari wadir RSPAD.
 MANTAN PRESIDEN RI KE 3 DI NOBATKAN SEBAGAI PEMILIK IQ TERTINGGI SEPANJANG SEJARAH MANUSIA NAMUN DI SIA SIAKAN OLEH BANGSA INDONESIA
 Sebuah situs Opishposh.com telah merilis 10 Manusia dengan IQ tertinggi dengan judul People With The Highest IQ Ever Recorded sbb : [...]",120900.png
121503,0,16-Oct-17,Luhut Melarang Anies Merombak Pejabat DKI,Punya kewenangan apa si mantan jendral yang sengak ini ?,121503.png
121719,0,18-Jul-17,Uang Rupiah Baru Bertandatangan Menteri Keuangan,"Coba perhatikan tanda tangan yg tercantum dalam uang rupiah cetakan lama dan yg baruâ€¦â€¦ada perbedaan yg sangat prinsip.
 Intinyaâ€¦..uang rupiah yang lama di ttd Gubernur BI dan salah satu deputy BIâ€¦â€¦uang baru di ttd Gub BI dan menteri keuangan.
 Semua uang yg baru â€¦tanda tangannyaâ€¦.ada campur tangan pemerintahâ€¦â€¦yg selama ini nggak pernah menteri keuangan ikut ttd uang rupiah.
 Uang baru mencantumkan tulisan Negara Kesatuan Republik Indonesia menghilangkan tulisan Bank Indonesia (hanya ada dicantumkan di muka belakang).
 Satu lagi,....",121719.jpg
122101,0,27-Jan-17,Anda Pernah Membully Orang Lain?,"Anda pernah membully orang lain?
 Tafsir al-Hujurat ayat 11",122101.jpg
122436,0,25-Nov-16,: Cara Menandai Situs Berita Palsu,Cara ini membuat Anda bisa mencegah berita bohong atau hoax tersebar lebih luas dengan mengetahui keaslian dari suatu situs berita.,122436.jpg
122854,0,30-Sep-15,Bisnis Penjualan Fanpage,Bisnis Penjualan Fanpage,122854.jpg
125624,0,17-Sep-19,"LPG, Liquified Petroleum Gas","Merasa ditipu karena isi tabung gas berupa â€œairâ€, dua pria ini terbakar saat mengeluarkan â€œairâ€ dari tabung gas tersebut. Padahal namanya LPG â€œliquified Petroleum gas",125624.png
126239,0,20-May-19,Klarifikasi BIN terkait Pesan Berantai yang Sebut 29 Tokoh Pendukung Prabowo-Sandiaga sedang Dimonitori oleh Aparat,29 Tokoh Pendukung Capres 02 Kena Motif. Siapa Saja Mereka?,126239.png
127212,0,21-Dec-18,"NUNGGAK BPJS TAK BISA URUS SIM-STNK, PIHAK TERKAIT BERIKAN KLARIFIKASI","Penduduk yang belum mendaftarkan diri dan anggota keluarganya setelah tanggal 1 Januari 2019 dikenakan sanksi administrasi berupa PENCABUTAN LAYANAN PUBLIK TERTENTU, meliputi:",127212.jpg
127549,0,19-Oct-18,"Klarifikasi BMKG Terkait Prediksi Gempa Bermagnitudo 8,2 dan Tsunami di Beberapa Daerah Jateng",Pesan yang beredar sudah dapat dipastikan hoaks,127549.png
128400,0,6-Jun-18,"Bukan Hoax, FPI Ikut Buka Bersama di Masjidilaqsa","Hadir dalam misi tersebut adalah ustad Bachtiar Nasir dari AQL, juga 
dari FPI, serta beberapa ustad lainnya. Di sela acara itu, ada MoU 
dengan Yayasan IHYA untuk program Palestina,",128400.png
128729,0,12-Apr-18,Klarifikasi Rumah Sakit Umum Cut Nyak Dien  Meulaboh Terkait Isu Keluarnya Dokter Spesialis Jantung Karena Tak Digaji,"Kemarin ini, dokter spesialis jantung itu bernama Dr Kamariah dan benar sempat seminggu pergi, tapi perginya untuk mengurus ijin praktek ke IDI,",128729.png
